ID,Gender,Grade,Infractions,Demerits
AB007,Female,9,2,5
AB009,Male,10,1,0
AC006,Male,7,83,30
AS001,Male,11,11,40
AT003,Female,12,1,10
AW007,Male,12,6,10
AW008,Female,8,3,15
BB003,Male,12,2,20
BH001,Female,7,6,20
BM002,Male,11,2,0
BT003,Male,10,6,80
CB004,Female,12,2,10
CC003,Male,11,5,5
CD004,Female,11,9,5
CG009,Female,11,2,0
CH003,Male,12,9,30
CI001,Female,11,8,15
CI002,Female,8,4,15
CM008,Male,11,2,40
CP002,Male,11,3,30
CR001,Male,11,7,50
CT002,Male,10,2,0
CT004,Female,7,2,0
CT007,Female,11,5,15
DC003,Male,7,5,0
DG001,Male,9,16,5
DH001,Male,9,3,20
DK001,Male,10,3,0
DL001,Male,12,2,10
DT005,Male,9,25,0
EA004,Male,11,7,40
EC005,Male,11,1,5
EF003,Male,10,6,10
EL001,Male,8,18,0
EM001,Female,10,3,10
EM002,Female,8,1,0
EM003,Male,10,11,5
EO002,Male,7,6,0
ES002,Female,8,2,0
GR002,Male,8,5,0
GW003,Male,8,1,0
HC001,Female,11,3,10
JA008,Male,8,1,0
JA009,Female,8,3,0
JD001,Male,7,8,0
JF003,Male,10,4,30
JF005,Female,12,2,15
JF009,Male,9,12,5
JH008,Male,10,2,5
JJ002,Male,10,24,25
JM007,Male,10,1,0
JM015,Male,9,2,0
JM016,Male,8,8,30
JP003,Male,8,18,5
JR006,Male,12,1,5
JS009,Male,12,5,10
JW009,Male,12,19,130
JW011,Male,9,20,5
KB001,Female,10,5,25
KI001,Female,7,13,0
KJ002,Female,11,1,0
KK001,Female,7,1,20
LB005,Female,7,3,10
LG002,Female,12,7,60
LM002,Female,12,2,5
LO002,Male,9,7,0
LS001,Female,7,17,20
MC007,Female,7,20,10
MC008,Female,7,6,10
MG001,Male,11,1,0
MJ001,Male,8,2,0
MK001,Male,10,4,5
MT004,Male,11,2,0
MW009,Female,10,6,85
MW011,Female,8,5,20
NA001,Male,7,1,0
NF001,Male,7,3,0
PB001,Male,10,4,20
PC001,Female,11,1,0
PF001,Male,9,3,0
RB001,Female,10,1,20
SD003,Female,9,1,0
SJ005,Male,12,1,5
SJ006,Male,10,14,30
SM002,Female,7,1,0
SM004,Female,8,2,10
SW005,Female,7,13,0
TB001,Female,10,3,30
TI001,Male,10,23,20
TK001,Male,9,37,50
TV001,Male,12,1,40
TW001,Male,9,2,0
VW001,Female,9,1,0
WH001,Male,8,3,0
WH002,Male,11,1,0
WJ001,Male,9,20,20
WT001,Male,12,2,15
