ID,Gender,Year,Grade,Infractions,Demerits
NF001,Male,2018,9,7,10
AB011,Male,2018,9,6,10
MC007,Female,2018,9,6,0
BH001,Female,2018,9,6,10
AK002,Female,2018,9,6,0
LB005,Female,2018,9,5,10
JD001,Male,2018,9,5,0
DC003,Male,2018,9,3,10
MC008,Female,2018,9,2,0
SH012,Female,2018,9,2,0
EL004,Male,2018,9,2,0
JP003,Male,2018,10,16,0
GR002,Male,2018,10,11,0
EL001,Male,2018,10,5,0
AW008,Female,2018,10,4,0
YG001,Female,2018,10,2,5
JK003,Male,2018,10,2,10
SM004,Female,2018,10,2,0
NR001,Male,2018,10,2,0
WJ001,Male,2018,11,13,5
DG001,Male,2018,11,11,0
JW011,Male,2018,11,10,5
TK001,Male,2018,11,7,20
DT005,Male,2018,11,5,10
JF009,Male,2018,11,3,0
DH001,Male,2018,11,2,0
JK004,Male,2018,11,2,10
TI001,Male,2018,12,15,10
JH008,Male,2018,12,7,15
SJ006,Male,2018,12,7,10
DB006,Male,2018,12,6,75
JJ002,Male,2018,12,5,30
JF003,Male,2018,12,4,0
KA001,Male,2018,12,3,0
KB001,Female,2018,12,3,10
BT003,Male,2018,12,3,20
XH001,Female,2018,12,2,0
EM003,Male,2018,12,2,10
LB008,Male,2018,12,2,40
